,player_name,overall_rating,Acceleration,sprint_speed,aggression,balance,ball_control,crossing,curve,dribbling,finishing,free_kick_accuracy,Unnamed: 16,heading_accuracy,interceptions,jumping,long_passes,long_shots,penalties,positioning,reactions,short_passing,shot_power,stamina,strength,vision,volleys,Goals
0,Lionel Messi,94,93,88,55,95,96,79,91,98,97,92,,82,27,74,89,89,78,95,95,90,85,79,64,92,86,565
1,Cristiano Ronaldo,93,91,93,62,62,91,82,88,93,95,78,,86,29,94,72,93,85,93,92,81,94,87,79,81,87,598
2,Luis Suarez,92,88,78,78,60,91,77,86,86,94,84,,77,41,69,64,86,85,92,93,83,87,89,76,84,88,388
3,Neymar,92,93,90,56,82,95,75,78,96,89,79,,62,36,61,75,77,81,90,88,81,78,70,49,80,83,292
4,Arjen Robben,90,92,92,47,91,90,80,87,93,85,83,,51,39,61,74,90,80,89,91,85,86,76,65,84,86,227
5,Zlatan Ibrahimovic,90,69,74,84,41,90,76,80,87,90,80,,76,20,72,76,88,91,86,85,84,93,75,93,83,93,482
6,Andres Iniesta,89,76,75,58,86,95,85,80,93,74,70,,54,68,54,89,75,72,87,90,94,66,78,59,93,74,72
7,Eden Hazard,89,93,87,54,90,90,80,83,94,80,79,,57,41,59,78,83,87,85,85,83,79,75,63,87,79,138
8,Mesut Oezil,89,77,68,54,70,90,80,84,86,75,79,,54,24,52,84,76,67,84,87,89,70,68,56,94,78,98
9,Gareth Bale,89,94,97,80,68,89,88,91,91,87,89,,77,61,70,83,95,82,90,88,88,94,93,82,82,82,153
