Row_id,Country,Trophy,Level,Ronaldo,PathOrder
1,Spain,Spain,1,5,1
2,Spain,Spain > La liga,2,2,1
3,Spain,Spain > Copa Del Rey,2,2,1
4,Spain,Spain > Supercopa de Espana,2,1,1
5,Europe,Europe > Uefa Super cup,2,1,1
6,Europe,Europe,1,4,1
7,Europe,Europe > Uefa Champion League,2,3,1
8,England,England ,1,4,1
9,England,England > English Premier League,2,3,1
10,England,England > FA cup,2,1,1
11,World,World,1,3,1
12,World,World > Fifa Club World Cup,2,3,1
13,World,World > Olympic Gold Medal,2,0,1
14,World,World > FIFA U-20 World Cup,2,0,1
1,Spain,Spain,1,5,0
2,Spain,Spain > La liga,2,2,0
3,Spain,Spain > Copa Del Rey,2,2,0
4,Spain,Spain > Supercopa de Espana,2,1,0
5,Europe,Europe > Uefa Super cup,2,1,0
6,Europe,Europe,1,4,0
7,Europe,Europe > Uefa Champion League,2,3,0
8,England,England ,1,4,0
9,England,England > English Premier League,2,3,0
10,England,England > FA cup,2,1,0
11,World,World,1,3,0
12,World,World > Fifa Club World Cup,2,3,0
13,World,World > Olympic Gold Medal,2,0,0
14,World,World > FIFA U-20 World Cup,2,0,0
